Date,Name,Nationality,Cause of death
7/19/2021,Kim Hong-bin,South Korea,Fall
7/1/2015,Qamber Ali Jangjupa,Pakistan,Avalanche
7/23/2013,Aidin Bozorgi,Iran,Disappeared
7/23/2013,Mojtaba Jarrahi [fa],Iran,Disappeared
7/23/2013,Pouya Keivan [fa],Iran,Disappeared
7/8/2013,Dana Heide,Germany,Slipped into a glacial stream near base camp
3/6/2013,Maciej Berbeka,Poland,Disappeared
3/6/2013,Tomasz Kowalski,Poland,Presumably exhaustion
7/31/2012,Muhammad Baqir,Pakistan,Fall
7/31/2012,Zuzana Hofmannová,Czech Republic,Disappeared
7/25/2011,Jeffrey Wai Hung Chung,Hong Kong,Fall in crevasse
7/18/2009,Cristina Castagna,Italy,Fall
6/30/2008,Vlado Plulik,Slovakia,Disappeared
7/8/2006,Markus Kronthaler,Austria,Exhaustion
7/11/1999,Seung-Kwon Hur,South Korea,Disappeared
7/29/1998,Pascale Bessieres,France,Disappeared
7/29/1998,Eric Escoffier,France,Disappeared
7/16/1997,Jeffrey Ian Bubb,United States,Avalanche
7/16/1997,Fukuzo Yokotagawa,Japan,Avalanche
7/20/1996,Dong-keun Han,South Korea,Died on descent due to bad weather
7/20/1996,Jae-mo Yang,South Korea,Died on descent due to bad weather
7/20/1996,Sun-taek Lim,South Korea,Died on descent due to bad weather
7/12/1995,Hyun-jae Park,South Korea,Fall
6/22/1994,Alexej Himer,Czech Republic,Fall
6/11/1994,Bohuslav Bilek,Czech Republic,Pulmonary edema
7/24/1990,Kurt Lyncke-Krüger,West Germany,Fall
8/20/1988,Yong-il Jang,South Korea,Avalanche
8/22/1986,Liam Scott Elliott,United Kingdom,Fell
8/18/1985,Barbara Kozłowska,Poland,Drowned in a glacier stream above BC
5/16/1985,Hans Frick,Canada,Avalanche
6/29/1983,Peter Thexton,United Kingdom,Pulmonary edema
8/5/1981,Enric Pujol,Spain,Fall
7/29/1975,Andrzej Sikorski,Poland,Fall
7/29/1975,Marek Kęsicki,Poland,Fall
7/28/1975,Bohdan Nowaczyk,Poland,Fall
