Date,Name,Nationality,Cause of death
5/1/2019,Phujung Bhote,Nepal,Crevasse
5/16/2018,Park Shin-yong,South Korea,Exhaustion or altitude sickness
9/26/2011,Joerg Henning,Germany,Avalanche
9/23/2011,Rostislav Krpec,Czech Republic,Unknown
5/22/2011,Ronald Naar,Netherlands,Arrhythmia
10/3/2010,Walter Nones,Italy,Fall
5/3/2010,Serguey Nikitin,Russia,Altitude sickness
9/25/2009,Clifton Maloney,United States,Illness
6/2/2009,Dennis Verhoeve,Netherlands,Fall
10/5/2008,Miha Valič,Slovenia,Altitude sickness
10/4/2008,Guy Leveille,Canada,Fall
5/9/2006,Raymund Spang,Germany,Fall
5/11/2005,Lubos Stacho,Slovakia,Illness
10/13/2004,Xabier Ormazabal,Spain,Hypothermia
10/6/2003,Christos Barouchas,Greece,Exhaustion
5/16/2003,Guenter Welkisch,Germany,Altitude sickness
5/14/2003,Paul Carr,Australia,Illness
5/14/2002,Adam Cinnamond,United Kingdom,Crevasse
4/30/2002,Chhong Ringee,Nepal,Unknown
9/9/2001,Su-ya Kim,South Korea,Altitude sickness
10/11/2000,Pavle Milošević,Serbia and Montenegro,Illness
9/20/2000,Pemba Gyalzen,Nepal,Avalanche
9/20/2000,Pasang Nuru,Nepal,Avalanche
9/20/2000,Pasang Nima,Nepal,Avalanche
5/4/2000,Pavel Bonadysenko,Russia,Fall
5/4/2000,Noora Toivonen,Finland,Fall
1/1/1999,Joan Carrillo Junca,Spain,Fall
9/26/1998,Alexander Jaggi,Switzerland,Illness
5/13/1998,Gerald Roesner,Germany,Fall
4/30/1998,Viktor Stepanov,Russia,Illness
10/10/1996,Lubos Becak,Czech Republic,Altitude sickness
10/6/1996,Hiroshi Oya,Japan,Altitude sickness
4/20/1996,Friedrich Zintl,Germany,Illness
10/8/1994,Lhakpa Gyalu,Nepal,Illness
1/24/1994,Juan Carlos Piedra,Switzerland,Fall
1/24/1994,Jean-Luc Beausire,Switzerland,Fall
5/20/1992,Philippe Monnerat,Switzerland,Fall
10/21/1991,Yuri Grebeniuk,Soviet Union,Falling rock/ice
5/11/1991,Horst Wasmann,Germany,Fall
6/6/1990,Chandra Gurung,Nepal,Illness
12/25/1989,Ang Lhakpa Nuru,Nepal,Fall
9/29/1988,Daniel Bovero,France,Altitude sickness
5/12/1988,Stefan Wörner,Switzerland,Altitude sickness
10/23/1986,Pierre-Alain Steiner,Switzerland,Fall
5/19/1982,Reinhard Karl,West Germany,Avalanche
5/7/1964,Alois Thurmayr,West Germany,Altitude sickness
5/4/1964,Georg Huber,West Germany,Altitude sickness
10/2/1959,Chhowang,Nepal,Avalanche
10/2/1959,Ang Norbu,Nepal,Avalanche
10/2/1959,Claudine van der Straten-Ponthoz,Belgium,Avalanche
10/2/1959,Claude Kogan,France,Avalanche
4/28/1958,Narendra Dhar Jayal,India,Altitude sickness
