Date,Name,Nationality,Cause of death
9/27/2018,Dawa Gyaljen Sherpa,Nepal,Avalanche
4/30/2018,Simone La Terra,Italy,Storm
5/20/2017,Ang Ngima Sherpa,Nepal,Fall/Exposure
5/19/2016,Rajib Bhattacharya,India,Altitude sickness
5/16/2016,Christiaan Johan Wilson,Netherlands,Disappeared
10/15/2014,Ján Matlák,Slovakia,Avalanche
10/15/2014,Vladimír Švancár,Slovakia,Avalanche
10/15/2014,Bhoj Kumar Rai,Nepal,Avalanche
10/15/2014,Gopal Rai,Nepal,Avalanche
10/15/2014,Dorje Sherpa,Nepal,Avalanche
5/26/2013,Juanjo Garra,Spain,Fall and exposure
5/23/2013,Chizuko Kono,Japan,Exhaustion
5/23/2013,Dawa Sherpa,Nepal,Disappeared
9/28/2010,Daisuke Honda,Japan,Avalanche
9/28/2010,Osamu Tanabe,Japan,Avalanche
9/28/2010,Pasang Gyelu,Nepal,Avalanche
9/28/2010,Toshio Yamamoto,Japan,Avalanche
5/13/2010,Zhao Liang,China,Fall
5/13/2010,Li Bin,China,Cold/ Exhaustion
5/13/2010,Han Xin,China,Fall
5/1/2009,Mehdi Etemad Far,Iran,Fall
4/8/2009,Piotr Morawski,Poland,Fall into crevasse
5/5/2008,Rafael Guillén,Spain,Fall
5/5/2008,Darío Bracali,Argentina,Disappeared
5/12/2007,Santiago Sagaste,Spain,Avalanche
5/12/2007,Ricardo Valencia,Spain,Avalanche
4/30/2007,Sergio Dalla Longa,Italy,Fall
10/14/2001,Yukihiko Shinagawa,Japan,Disappeared
10/14/2001,Ryushi Hoshino,Japan,Disappeared
10/14/2001,Masashi Fukumoto,Japan,Disappeared
10/11/2001,Jose Antonio Garces,Spain,Fall
10/7/2000,Gyalzen Chuldim,Nepal,Avalanche
9/29/2000,Soo-ho Lee,South Korea,Avalanche
10/24/1999,Ginette Harrison,United Kingdom,Avalanche
10/24/1999,Dawa Dorje,Nepal,Avalanche
10/2/1998,Charalampos (Babis) Tsoupras,Greece,Fall
5/11/1998,Chantal Mauduit,France,Avalanche
5/11/1998,Ang Tshering,Nepal,Avalanche
5/1/1998,Nikos Papandreou,Greece,Fall
10/6/1995,Isayoshi Tawaraya,Japan,Disappeared
5/15/1995,Albrecht Hammann,Germany,Exposure
10/18/1994,Galina Chekanova,Ukraine,Fall
9/26/1994,Robert Bähler,Switzerland,Fall
10/6/1993,Gary Ball,New Zealand,Altitude Sickness
5/11/1992,Sanda Dumitrescu-Isaila,Romania,Disappeared
5/11/1992,Taina Coliban,Romania,Disappeared
5/2/1992,Hubert Weinzierl,Germany,Heart Failure
10/31/1990,Dainius Makauskas,Lithuania,Disappeared
4/29/1990,Wangel,Nepal,Avalanche
12/25/1989,Scot McGrath,United States,Avalanche
12/25/1989,Gregory Barber,United States,Avalanche
12/25/1989,Wangchuk Nuru,Nepal,Avalanche
10/10/1989,Francesc (Quico) Dalmases,Spain,Disappeared
9/25/1989,Sarki Kami,Nepal,Avalanche
9/25/1989,Ajiwa,Nepal,Avalanche
9/21/1986,Franz Mülleder,Austria,Edema
10/23/1984,Jan Simon,Czechoslovakia,Fall
5/23/1981,Mario Serrano,Argentina,Cold/Exhaustion
10/7/1980,Lynette R. Griffith,Australia,Avalanche
5/14/1979,Sherpa Pemba,Nepal,Disappeared
5/13/1979,Jean-Louis Sabarly,France,Avalanche
5/13/1979,Eric Poumailloux,France,Avalanche
10/20/1978,Katsuyoshi Kogure,Japan,Fall/Exposure
9/23/1978,Kiyoshi Kobayashi,Japan,Avalanche
9/23/1978,Yujiro Fukasawa,Japan,Avalanche
9/23/1978,Hiroshi Akuzawa,Japan,Avalanche
4/21/1978,Katsumi Naganuma,Japan,Exhaustion
3/26/1975,Yoshitada Numao,Japan,Avalanche
3/26/1975,Tetsu Imura,Japan,Avalanche
3/26/1975,Pasang Kami,Nepal,Avalanche
3/26/1975,Dorje,Nepal,Avalanche
3/26/1975,Dakiya,Nepal,Avalanche
4/28/1969,David Seidman,United States,Avalanche
4/28/1969,Ross William,United States,Avalanche
4/28/1969,Vincent Hoeman,United States,Avalanche
4/28/1969,Paul Gerhard,United States,Avalanche
4/28/1969,Boyd Everett,United States,Avalanche
4/28/1969,Pemba Phutar,Nepal,Avalanche
4/28/1969,Tenzing,Nepal,Avalanche
4/29/1959,Heinrich Roiss,Austria,Cold/Exhaustion
5/26/1956,Bal Bahadur,Nepal,Avalanche
6/30/1954,Francisco (Paco) Ibanez,Argentina,Exposure
