Date,Name,Nationality,Cause of death
8/9/2013,Zdenek Hruby,Czech Republic,Fall
7/22/2013,Xevi Gómez,Spain,Disappeared
7/22/2013,Álvaro Paredes,Spain,Disappeared
7/22/2013,Abel Alonso,Spain,Disappeared
7/7/2013,Artur Hajzer,Poland,Fall
3/9/2012,Gerfried Göschl,Austria,Disappeared
3/9/2012,Cedric Hählen,Switzerland,Disappeared
3/9/2012,Nissar Hussain,Pakistan,Disappeared
6/18/2008,Jean-Noel Urban,France,Fall into crevasse
7/29/2007,Jiri Danek,Czech Republic,Fall
8/5/2005,Dawa Nurbu II,Nepal,Fall
7/25/2004,Jose Antonio Anton,Spain,Fall
9/7/2003,Mohammad Oraz,Iran,"Avalanche caused injuries, died in hospital"
7/15/2003,Vladimir Pestrikov,Ukraine,Stone fall
7/5/2003,Jose Manuel Buenaga,Spain,Disappeared
7/5/2003,Nancy Silvestrini [es],Argentina,Disappeared
7/9/2001,Claudio Gálvez Santibañez,Chile,"Fall, after successfully summiting"
8/1/1998,Yoshiumi Hayoshida,Japan,Avalanche
8/1/1998,Kasunori Kutama,Japan,Avalanche
8/1/1998,Kasutoshi Naito,Japan,Avalanche
8/1/1998,Takashi Watanabe,Japan,Avalanche
7/17/1996,Manuel Alvarez,Spain,Fall (between Camp III and Camp II)
5/30/1993,Paolo Bernascone,Italy,Slab avalanche (below Camp I)
8/19/1990,Josep Granyo,Spain,Disappeared
8/19/1990,Albert Ibanez,Spain,Disappeared
7/12/1989,Dorje Tsindi,Nepal,Fall
6/25/1988,Jorge Luis Brito,Mexico,Pulmonary edema
7/29/1987,Mohsin Ali,Pakistan,Avalanche
7/29/1987,Fakhar-ul-Islam,Pakistan,Avalanche
7/29/1987,Fayyaz Hussain,Pakistan,Avalanche
7/29/1987,Khalid Khan,Pakistan,Avalanche
8/18/1986,Andreas Bührer,Switzerland,Fall
5/31/1986,Muhammad Ali Ghulam,Pakistan,Pneumonia
6/10/1977,Drago Bregar,Yugoslavia,Disappeared
