Date,Name,Nationality,Cause of death
7/25/2015,Aleksander Ostrowski,Poland,Avalanche
7/22/2011,Leila Esfandyari,Iran,Fall While Return
7/21/2009,Luis María Barbero,Spain,Disappeared
7/18/2007,Ernst-Robert Zauner,Germany,Avalanche
7/18/2007,Arne Heckele,Germany,Avalanche
7/3/2007,Ulrike Gschwandtner [de],Austria,Possibly Heart Failure
7/20/2001,Jean-François Bassine,Belgium,Fall
7/28/2000,Felix Iñurrategui,Spain,Fall
7/13/1989,Antton Ibarguren,Spain,Fall
7/9/1988,Gary Silver,United States,Illness
7/6/1988,Michel Basson,France,Pulmonary Edema
6/25/1988,Henri Albet,France,Fall on snowboard
6/29/1987,Jean-Pierre Hefti,Switzerland,Fall
7/12/1986,Carlos Rabago,Spain,Illness
7/11/1985,Pierre Bouygues,France,Illness
6/24/1985,Toru Nakano,Japan,Fall
7/15/1982,Norbert Wolf,Austria,Cold
7/15/1982,Gerhard Gruner,West Germany,Disappeared
7/2/1982,Glenn Brindeiro,United States,Avalanche
6/1/1976,Osamu Matsuura,Japan,Exhaustion
5/27/1976,Yoshinori Hiramatsu,Japan,Fall
5/27/1976,Taketoshi Miyamoto,Japan,Fall
6/29/1975,Bernard Villaret,France,"Cold, exhaustion"
