Date,Name,Nationality,Cause of death
5/17/2019,Ivan Tomov,Bulgaria,Cerebral edema
5/17/2018,Rustem Amirov,Russia,Altitude sickness
5/19/2016,Ang Furba Sherpa,Nepal,Fall
4/27/2015,Hiroshi Yamagata,Japan,Avalanche (2015 Mount Everest avalanches)
4/25/2015,Zhen-Fang Ge,China,Avalanche (2015 Mount Everest avalanches)
4/18/2014,Asman Tamang,Nepal,Avalanche (2014 Mount Everest ice avalanche)
5/20/2013,Hsiao-Shih Lee,Taiwan,Altitude sickness
10/16/2012,Temba Sherpa,Nepal,Fall
5/21/2012,Milan Sedláček,Czech Republic,Exhaustion
5/7/2010,Sergey Duganov,Russia,Altitude sickness
5/25/2009,Sergey Samoilov,Kazakhstan,Fall
5/21/2007,Pemba Doma,Nepal,Fall
5/9/2006,Pavel Kalný,Czech Republic,Fall
10/5/2003,Sun-dug Hwang,South Korea,Avalanche (on Lhotse Shar)
10/5/2003,Joo-hoon Park,South Korea,Avalanche (on Lhotse Shar)
9/17/2000,Vladimir Bondarev,Russia,Avalanche
5/27/1997,Vladimir Bashkirov,Russia,Illness
10/24/1989,Jerzy Kukuczka,Poland,Fall
9/27/1987,Antoni (Toni) Sors,Spain,Avalanche (on Lhotse Shar)
9/27/1987,Sergio Escalera,Spain,Avalanche (on Lhotse Shar)
9/27/1987,Francesc Porras,Spain,Avalanche (on Lhotse Shar)
9/27/1987,Antonio Quiñones,Spain,Avalanche (on Lhotse Shar)
9/14/1987,Czesław Jakiel,Poland,Avalanche
10/30/1986,Pedro Alonso,Spain,Fall (on Lhotse Shar)
10/25/1985,Rafał Chołda,Poland,Fall
10/16/1981,Philippe Petten,Switzerland,Disappearance (on Lhotse Shar)
10/16/1981,Pierre Favez,Switzerland,Disappearance (on Lhotse Shar)
5/17/1980,Pasang Nima,Nepal,Avalanche
4/28/1980,Nicolas Jaeger,France,Disappearance (on Lhotse Shar)
5/12/1977,Max Lutz,West Germany,Fall
12/17/1974,Stanislaw Latałło,Poland,Exhaustion
