Date,Name,Nationality,Cause of death
9/29/2021,Brent Seal,Canada,Stroke
9/28/2019,Rita Bladyko,Poland,Altitude sickness
9/29/2018,Roman Hlávko,Czech Republic,Probably fall
9/8/2018,Hiromi Komatsu,Japan,Rescue helicopter crash
9/25/2017,Philip Harvey,United Kingdom,Altitude Sickness
10/26/2016,Hirotaka Onodera,Japan,Fall
10/1/2015,Zoltan Benedek,Austria,Probably altitude sickness
9/26/2014,Yoshimasa Sasaki,Japan,Fall
10/4/2012,Victor Correa,Colombia,Unknown (disappeared)
9/23/2012,Dominique Ouimet,Canada,Avalanche
9/23/2012,Gregory Ugo Costa,France,Avalanche
9/23/2012,Alberto Magliano,Italy,Avalanche
9/23/2012,Catherine Ricard,France,Avalanche
9/23/2012,Christian Mittermeyer,Germany,Avalanche
9/23/2012,Dawa Dorji Sherpa,Nepal,Avalanche
9/23/2012,Fabrice Priez,France,Avalanche
9/23/2012,Ludovic Challeat,France,Avalanche
9/23/2012,Marti Roig Gasull,Spain,Avalanche
9/23/2012,Phillippe Lucien Bos,France,Avalanche
9/23/2012,Rémy Lécluse,France,Avalanche
5/11/2012,Jafar Naseri,Iran,Unknown (disappeared)
5/12/2011,Tashi Chhiring,Nepal,Unknown (disappeared)
5/12/2011,Bernard Jean Francois Milian,France,Unknown (disappeared)
5/12/2011,Alain Peirre Marie Laurens,France,Unknown (disappeared)
4/29/2011,Eisa Mir-Shekari,Iran,Altitude sickness
9/24/2010,Nobuaki Kuwabara,Japan,Illness
4/24/2010,Chi-won Yun,South Korea,Unknown (disappeared)
4/24/2010,Haeng-su Park,South Korea,Exhaustion
10/3/2009,Franc Oderlap,Slovenia,"Hit by falling seracs, died in hospital"
5/19/2009,Levente Szabó,Hungary,Fall
4/28/2009,Giuseppe Antonelli,Italy,Illness
10/5/2008,Daniel Goulevitch,France,Altitude sickness
5/13/2008,Hasta Bahadur Gurung,Nepal,Illness
5/28/2006,Susan Erica Fear,Australia,Fall in crevasse
10/13/2001,Isao Kuribara,Nepal,"Altitude sickness, Exhaustion"
10/30/1998,Hristo Stantchev,Bulgaria,Fall
10/26/1998,Lenin Granados,Colombia,Avalanche
10/9/1997,Miroslav Rybansky,Slovakia,Collapsed
10/8/1997,Juraj Kardhordo,Slovakia,Unknown (disappeared)
10/1/1996,Masatsugu Konishi,Japan,Unknown (disappeared)
5/7/1995,Michael Zunk,Germany,Fall
5/6/1995,Jörg Starke,Germany,Fall
10/22/1993,Sergei Jadrychnikov,Russia,Avalanche
10/21/1993,Igor Khmiliar,Russia,Fall
10/3/1992,Sven Vermeiren,Belgium,Fall
10/2/1992,Sylwia Dmowska,Poland,Fall
5/10/1991,Karl Großrubatscher,Italy,Fall
5/10/1991,Gottfried Mutschlechner,Italy,Lightning
9/7/1990,Murat Galiev,Soviet Union,Fall
9/7/1990,Zinur Halitov,Soviet Union,Fall
9/7/1990,Grigory Lunjakov,Soviet Union,Fall
3/27/1990,Nima Wangchuk Sherpa,Nepal,Avalanche
3/27/1990,Charles Schertz,United States,Avalanche
3/27/1990,Nancy Jackson,United States,Avalanche
5/7/1989,Santiago Suarez,Spain,Fall
10/28/1987,Ichigi Kudo,Japan,Fall
5/4/1986,Dieter Oberbichler,Austria,Fall
5/3/1986,Wilhelm Klaiber,West Germany,Unknown (disappeared)
10/25/1985,Nima Norbu Sherpa,Nepal,Avalanche
5/4/1985,Thomas Juen,Austria,Avalanche
12/11/1983,Stanisław Jaworski,Poland,Fall
4/24/1983,Ante Bućan,Yugoslavia,Avalanche
4/24/1983,Nejc Zaplotnik,Yugoslavia,Avalanche
12/18/1982,Takashi Sakuma,Japan,"Cold, Exhaustion"
5/10/1982,Pere Aymerich,Spain,Avalanche
5/10/1982,Enric Font,Spain,Avalanche
10/8/1979,Edgardo Jose Porsellana,Argentina,Avalanche
5/5/1974,Teiko Suzuki,Japan,Unknown (disappeared)
4/26/1972,Andi Schlick,Austria,Unknown (disappeared)
4/25/1972,Franz Jäger,Austria,Unknown (disappeared)
4/10/1972,Wangel,Nepal,Avalanche
4/10/1972,Rinsing Ongyal,Nepal,Avalanche
4/10/1972,Phurba Tenzing,Nepal,Avalanche
4/10/1972,Pemba Rinji (Nawang Chultim),Nepal,Avalanche
4/10/1972,Pasang Nima,Nepal,Avalanche
4/10/1972,Gyalze,Nepal,Avalanche
4/10/1972,Ang Tendi (Ang Dawa),Nepal,Avalanche
4/10/1972,Ang Rita,Nepal,Avalanche
4/10/1972,Ang Mingma (b),Nepal,Avalanche
4/10/1972,Ang Mingma (a),Nepal,Avalanche
4/10/1972,Kazunari Yasuhisha,Japan,Avalanche
4/10/1972,Chang-hee Park,South Korea,Avalanche
4/10/1972,Sae-keon Oh,South Korea,Avalanche
4/10/1972,Joon-haeng Song,South Korea,Avalanche
4/10/1972,Ho-sup Kim,South Korea,Avalanche
5/4/1971,Ki-sup Kim,South Korea,Fall
