Date,Name,Nationality,Cause of death
2/24/2019,Daniele Nardi,Italy,Unknown
2/24/2019,Tom Ballard,United Kingdom,Unknown
1/27/2018,Tomasz Mackiewicz,Poland,Altitude Sickness
6/24/2017,Alberto Zerain,Spain,Avalanche
6/24/2017,Mariano Galvan,Argentina,Avalanche
6/22/2013,Igor Svergun,Ukraine,Killed by Taliban at Diamir Base Camp
6/22/2013,Badawi Kashaev,Ukraine,Killed by Taliban at Diamir Base Camp
6/22/2013,Dmitry Konyaev,Ukraine,Killed by Taliban at Diamir Base Camp
6/22/2013,Rao Jianfeng,China,Killed by Taliban at Diamir Base Camp
6/22/2013,Yang Chunfeng,China,Killed by Taliban at Diamir Base Camp
6/22/2013,Honglu Chen,China (USA/China dual national),Killed by Taliban at Diamir Base Camp
6/22/2013,Sona Sherpa,Nepal,Killed by Taliban at Diamir Base Camp
6/22/2013,Ernestas Markšaitis,Lithuania,Killed by Taliban at Diamir Base Camp
6/22/2013,Ali Hussain,Pakistan,Killed by Taliban at Diamir Base Camp
6/22/2013,Anton Dobes,Slovakia,Killed by Taliban at Diamir Base Camp
6/22/2013,Peter Sperka,Slovakia,Killed by Taliban at Diamir Base Camp
2/6/2013,Joel Wischnewski,France,Avalanche
7/11/2009,Mi-young Go,South Korea,Fall
7/10/2009,Wolfgang Kölblinger,Austria,Fall
7/17/2008,Saman Nemati,Iran,Unknown
7/15/2008,Karl Unterkircher,Italy,Fell into crevasse
7/28/2006,Naohiro Ozawa,Japan,Unknown
7/22/2006,José Antonio Delgado,Venezuela,Exposure
7/1/2004,Günter Jung,Germany,Fall
7/26/1998,Hideki Ohmiya,Japan,Fall
7/30/1997,Joan Colet,Spain,Fell during descent
6/20/1996,Răzvan Petcu,Romania,Avalanche
6/20/1996,Gabriel Stana,Romania,Avalanche
6/24/1994,Antonio Lopez,Spain,Fall
7/7/1993,Chun-moon Ahn,South Korea,Unknown
8/18/1990,Osami Nakajima,Japan,Fall
7/3/1990,Chang-gi Park,South Korea,Fall into a crevasse
7/18/1989,Tetsuya Baba,Japan,Lightning strike
6/23/1989,Kwang-ho Kim,South Korea,Fall
7/10/1985,Piotr Kalmus,Poland,Avalanche
12/8/1984,Hiromi Kameda,Japan,Fall
7/7/1984,Fuji Tsunoda,Japan,Avalanche
7/7/1984,Shigeoh Hida,Japan,Avalanche
7/7/1984,Nobuyuki Imakyurei,Japan,Avalanche
7/7/1984,Takashi Kogure,Japan,Avalanche
7/12/1983,Nobuyoshi Yamada,Japan,Avalanche
7/12/1983,Yuichiro Takamori,Japan,Avalanche
7/12/1983,Satoshi Iida,Japan,Avalanche
6/17/1983,Kazuo Shimura,Japan,Fall
6/8/1982,Peter Hiltbrand,Switzerland,Altitude sickness
6/12/1982,Ali Sheikh,Pakistan,Fall
6/4/1982,Peter Forrer,Switzerland,Avalanche
4/28/1982,Matloob Hassan Nuri,Pakistan,Fall into crevasse
7/31/1977,Robert Broughton,United States,Avalanche
7/31/1977,George Bogel,United States,Avalanche
9/26/1976,Sebastian (Wastl) Arnold,Austria,Fall
7/8/1971,Näbi Mantas Hunza,Pakistan,Fall
6/29/1970,Günther Messner,Italy,Avalanche
6/23/1962,Siegfried (Sigi) Löw,Germany,Fall
12/4/1950,John W. Thornley,United Kingdom,Unknown
12/4/1950,William H. Crace,United Kingdom,Unknown
6/15/1937,Karl Wien,Nazi Germany,Avalanche
6/15/1937,Martin Pfeffer,Nazi Germany,Avalanche
6/15/1937,Peter Müllritter,Nazi Germany,Avalanche
6/15/1937,Günther Hepp,Nazi Germany,Avalanche
6/15/1937,Hans Hartmann,Nazi Germany,Avalanche
6/15/1937,Adolf Göttner,Nazi Germany,Avalanche
6/15/1937,Pert Fankhauser,Austria,Avalanche
6/15/1937,Tigmay,British Raj,Avalanche
6/15/1937,Pasang Norbu,British Raj,Avalanche
6/15/1937,Nima Tsering I,British Raj,Avalanche
6/15/1937,Nima Tsering II,British Raj,Avalanche
6/15/1937,Mingma Tsering,British Raj,Avalanche
6/15/1937,Karmi,British Raj,Avalanche
6/15/1937,Gyalgen Monjo,British Raj,Avalanche
6/15/1937,Chong Karma,British Raj,Avalanche
6/15/1937,Ang Tshering II,British Raj,Avalanche
7/17/1934,Willy Merkl,Nazi Germany,Unknown
7/17/1934,Sherpa Gyali,British Raj,Unknown
7/12/1934,Wilhelm Welzenbach,Nazi Germany,Exposure
7/10/1934,Sherpa Dakshi,British Raj,Unknown
7/10/1934,Dorje Nima,British Raj,Exposure
7/10/1934,Nima Tashi,British Raj,Exposure
7/10/1934,Pinju Norbu,British Raj,Exposure
7/9/1934,Nima Nurbu,British Raj,Unknown
7/9/1934,Ulrich Wieland,Nazi Germany,Unknown
6/8/1934,Alfred Drexel,Nazi Germany,Pneumonia
8/24/1895,Albert F. Mummery,United Kingdom,Avalanche
8/24/1895,Ragobir Thapa Ghurka,Nepal,Avalanche
8/24/1895,Goman Singh Ghurka,Nepal,Avalanche
